mrp;price;product_category;rating;review_count;Nylon;Rayon;Spandex;polyester;Cotton;Modal;Elastane
46.00 ;46.00 ;Bras;4.3;398;82;0;18;0;0;0;0
49.67 ;49.67 ;Bras;4.3;398;82;0;18;0;0;0;0
72.00 ;44.99 ;Bras;3.8;105;72;0;28;0;0;0;0
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
50.00 ;47.00 ;Bras;4.2;972;85;0;15;0;0;0;0
60.00 ;51.52 ;Bras;4.2;158;81;0;19;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
60.00 ;39.99 ;Bras;4.5;773;100;0;0;0;0;0;0
27.00 ;14.99 ;Panties;4.3;95;41;0;11;48;0;0;0
27.00 ;27.00 ;Panties;4.3;95;82;0;18;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
72.00 ;50.40 ;Bras;3.8;105;72;0;28;0;0;0;0
36.00 ;27.00 ;Bras;4.6;68;72;0;0;0;0;0;28
38.00 ;28.50 ;Bras;3.8;32;71;0;0;0;0;0;29.5
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
60.00 ;44.99 ;Bras;4.2;158;81;0;19;0;0;0;0
36.00 ;27.00 ;Bras;4.6;68;72;0;0;0;0;0;28
46.00 ;46.00 ;Bras;4.4;291;87;0;13;0;0;0;0
44.95 ;44.95 ;Bras;4.2;114;0;0;10;90;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
60.00 ;55.00 ;Bras;4.4;772;82;0;18;0;0;0;0
65.00 ;39.94 ;Bras;4.2;114;0;0;10;90;0;0;0
46.00 ;46.00 ;Bras;4.4;291;100;0;0;0;0;0;0
68.00 ;68.00 ;Bras;3.7;62;58;0;42;0;0;0;0
20.00 ;20.00 ;Panties;4.7;532;0;0;0;0;53;35;12
38.00 ;33.63 ;Bras;4.5;26;79;0;0;0;0;0;21
44.00 ;44.00 ;Bras;4.1;16;79;0;0;0;0;0;21.5
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
50.00 ;50.00 ;Bras;4.2;972;85;0;15;0;0;0;0
60.00 ;60.00 ;Bras;4.5;773;82;0;18;0;0;0;0
55.00 ;55.00 ;Bras;4.3;605;0;0;15;85;0;0;0
44.00 ;44.00 ;Bras;4.1;16;79;0;0;0;0;0;21.5
50.00 ;50.00 ;Bras;4.1;483;0;0;0;100;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
38.00 ;38.00 ;Bras;4.3;382;86;0;14;0;0;0;0
65.00 ;65.00 ;Bras;4.4;1163;80;0;20;0;0;0;0
72.00 ;50.40 ;Bras;3.8;105;72;0;28;0;0;0;0
59.99 ;59.99 ;Bras;4.4;772;82;0;18;0;0;0;0
65.00 ;65.00 ;Bras;4.4;841;91;0;9;0;0;0;0
68.00 ;40.00 ;Bras;4.2;96;70;0;30;0;0;0;0
